age,annual_income,tenure_months,sessions_30d,support_tickets,country,plan,converted
47,85256.71,6,10,1.0,CA,free,0
36,85514.57,55,13,2.0,DE,free,0
39,68073.1,63,8,0.0,NL,pro,1
19,43678.69,56,18,3.0,NL,free,1
19,57422.47,71,15,0.0,TR,free,1
67,74747.27,2,16,1.0,DE,free,1
20,18000.0,42,11,1.0,TR,starter,0
33,,5,9,0.0,TR,pro,0
58,93257.54,60,13,5.0,NL,pro,1
36,44866.34,9,10,2.0,ES,starter,0
61,96584.54,51,16,1.0,ES,free,1
20,65692.0,62,8,3.0,ES,pro,0
46,72507.29,13,14,4.0,CA,free,0
45,26916.17,4,11,2.0,,starter,0
18,59124.46,54,11,3.0,NL,free,0
55,26297.56,68,16,3.0,NL,pro,1
71,86027.03,17,7,1.0,TR,starter,0
56,63582.83,70,14,3.0,NL,starter,1
20,115032.39,65,11,3.0,NL,free,1
47,,47,15,2.0,CA,free,0
67,56692.36,3,15,3.0,TR,pro,1
57,61000.12,40,15,2.0,DE,pro,1
26,83867.91,70,10,1.0,DE,starter,0
38,110144.3,1,9,1.0,TR,starter,0
20,73331.92,46,16,2.0,NL,pro,1
53,56569.3,72,5,2.0,DE,free,1
60,110721.82,66,18,2.0,NL,starter,1
54,33127.69,62,10,2.0,CA,starter,0
34,65483.9,33,14,1.0,CA,free,1
46,51695.86,57,8,4.0,NL,free,1
31,68534.29,17,15,1.0,ES,starter,1
67,53562.73,29,9,1.0,DE,pro,0
39,45466.12,54,12,0.0,ES,free,0
62,59992.05,12,12,1.0,NL,free,0
52,50644.58,22,15,0.0,DE,starter,0
38,54388.7,48,12,1.0,ES,starter,1
40,31134.54,7,6,3.0,NL,starter,0
45,18000.0,54,11,0.0,ES,free,1
61,70483.76,4,16,3.0,CA,free,1
44,46166.63,45,8,2.0,CA,pro,0
21,61505.48,61,10,2.0,NL,free,1
32,47768.17,9,9,4.0,TR,starter,0
30,,18,13,1.0,TR,free,1
30,112712.03,13,8,1.0,NL,free,0
54,83537.12,16,6,2.0,ES,pro,0
61,59392.98,66,11,2.0,TR,pro,1
60,69615.07,28,11,3.0,DE,pro,1
59,117925.87,58,5,3.0,NL,pro,1
44,40630.84,6,13,3.0,DE,starter,1
32,80248.22,58,9,2.0,CA,free,1
39,98197.97,28,12,2.0,TR,starter,1
23,115000.85,4,10,1.0,CA,free,0
21,77713.5,28,13,1.0,NL,free,0
19,49526.41,59,8,3.0,TR,pro,0
54,54773.46,18,12,1.0,NL,starter,0
19,93889.01,49,14,3.0,NL,free,1
65,66047.12,47,6,0.0,NL,starter,1
38,66123.26,4,10,0.0,ES,free,1
50,64380.28,36,12,2.0,CA,starter,1
29,61287.04,3,13,1.0,NL,starter,0
36,77895.05,63,10,2.0,TR,free,0
19,70548.87,55,7,3.0,CA,starter,1
60,60679.6,13,14,3.0,TR,free,0
68,53334.66,18,12,0.0,NL,free,1
21,41497.98,68,13,2.0,TR,free,0
37,92656.87,7,6,4.0,ES,free,0
22,71472.67,38,12,3.0,DE,free,1
43,88347.79,1,8,2.0,CA,free,1
66,74886.95,46,9,2.0,NL,free,0
29,67003.35,67,10,2.0,DE,starter,1
38,72230.8,59,8,6.0,NL,starter,1
25,43273.62,15,14,1.0,TR,starter,0
32,53300.79,4,10,3.0,CA,starter,0
31,63318.18,21,7,0.0,NL,free,0
61,18569.42,17,15,2.0,CA,starter,0
42,88900.15,26,20,1.0,NL,pro,0
37,117157.21,39,4,4.0,NL,pro,1
36,18000.0,9,17,2.0,ES,free,0
35,22644.83,56,13,1.0,NL,free,0
28,46501.04,64,13,0.0,NL,free,0
65,86271.5,8,7,3.0,TR,free,0
20,48209.06,34,13,3.0,ES,free,0
45,84927.07,64,11,0.0,CA,free,0
50,50232.46,16,9,0.0,NL,pro,1
47,79122.31,37,7,1.0,ES,free,0
44,58475.81,8,17,2.0,TR,free,1
35,37383.03,55,10,3.0,DE,free,0
60,95719.98,18,23,0.0,NL,free,1
58,53223.82,25,5,0.0,TR,pro,1
70,34568.69,29,10,2.0,ES,starter,0
49,43588.77,45,12,1.0,TR,free,1
64,69134.58,33,12,2.0,ES,free,0
18,92727.93,42,7,4.0,NL,free,0
25,27583.49,68,7,1.0,TR,free,0
47,58451.21,35,9,3.0,TR,starter,0
18,57577.46,50,8,2.0,CA,starter,0
45,83122.93,63,13,1.0,TR,free,0
48,60974.92,17,7,2.0,TR,pro,0
30,46192.49,25,8,2.0,CA,starter,0
28,38848.04,72,12,3.0,NL,pro,1
34,52690.8,18,9,1.0,ES,free,0
59,111415.71,46,9,3.0,DE,free,1
70,59726.22,45,12,1.0,DE,starter,1
70,62569.87,50,9,2.0,ES,free,1
65,48961.04,9,7,2.0,DE,free,0
30,75777.61,9,10,0.0,ES,starter,1
51,40237.38,5,11,0.0,CA,pro,1
40,75403.19,21,7,0.0,DE,starter,1
23,94320.88,55,6,1.0,NL,free,0
48,69650.82,72,4,4.0,DE,starter,0
66,97174.42,27,8,1.0,NL,starter,0
50,50833.84,24,13,0.0,NL,starter,1
51,66828.8,29,7,1.0,TR,free,1
69,,10,9,2.0,CA,pro,1
42,79235.86,55,14,2.0,DE,free,1
22,58992.75,23,13,3.0,TR,starter,0
28,69961.35,40,11,1.0,TR,free,0
38,79516.43,41,10,1.0,CA,starter,1
29,65950.54,8,11,1.0,NL,starter,1
65,60402.87,18,6,2.0,TR,free,0
24,39192.13,30,7,2.0,DE,free,0
35,59606.89,63,10,1.0,ES,starter,1
33,29238.43,44,5,1.0,ES,pro,0
52,91237.82,31,16,,ES,starter,1
69,65702.76,29,12,2.0,TR,pro,1
40,77470.05,44,8,2.0,DE,free,0
29,45255.78,54,17,1.0,NL,starter,1
19,90261.5,50,14,,NL,starter,1
35,68690.73,19,9,0.0,ES,starter,1
71,67462.05,57,11,2.0,NL,starter,1
18,94963.35,69,8,5.0,CA,free,0
19,42479.42,35,11,1.0,TR,free,0
20,68210.89,49,13,3.0,NL,starter,1
65,43792.13,52,18,1.0,TR,pro,1
35,56976.95,72,14,1.0,NL,pro,1
22,103460.28,68,14,2.0,CA,free,1
43,88609.16,18,12,3.0,NL,free,0
63,85697.81,6,11,2.0,TR,starter,1
33,70692.87,68,7,1.0,NL,free,1
24,18000.0,44,6,,DE,starter,0
58,40975.49,67,10,2.0,NL,starter,0
70,35764.5,68,8,0.0,DE,free,1
59,46423.72,35,14,0.0,DE,starter,1
24,25200.1,59,11,2.0,NL,free,0
22,62255.96,16,11,0.0,TR,free,0
26,71973.19,6,11,0.0,CA,starter,0
48,77266.77,58,12,2.0,ES,starter,1
48,72476.51,29,18,4.0,TR,free,1
36,100746.03,13,12,1.0,TR,free,0
35,52416.19,63,12,1.0,NL,pro,1
55,49813.27,31,6,1.0,CA,free,0
48,65503.09,68,8,1.0,CA,starter,0
31,42133.54,37,6,0.0,ES,starter,0
60,40670.63,2,13,3.0,DE,free,0
27,90939.48,6,9,3.0,ES,pro,0
44,80201.44,62,11,0.0,TR,free,0
55,80300.84,22,8,0.0,DE,free,0
62,84069.29,60,12,3.0,DE,free,1
55,19729.25,26,12,3.0,ES,pro,1
67,49186.0,8,11,5.0,ES,pro,0
28,62781.35,6,11,0.0,NL,starter,0
43,,16,7,3.0,CA,starter,0
39,82595.32,42,7,1.0,TR,free,0
21,45622.72,44,14,2.0,CA,starter,1
62,35890.15,40,16,1.0,CA,free,1
43,48271.78,27,8,3.0,NL,pro,1
58,36351.91,49,15,2.0,CA,pro,1
21,66152.08,49,5,3.0,ES,pro,0
22,51667.29,45,8,2.0,CA,starter,0
53,49425.53,24,8,0.0,ES,free,0
57,94366.33,68,12,1.0,CA,pro,1
60,40990.53,30,10,6.0,NL,free,0
27,76579.31,63,11,1.0,CA,free,1
38,24220.39,56,8,2.0,NL,starter,0
51,66175.45,71,14,0.0,NL,starter,0
41,23248.45,6,10,1.0,TR,free,0
27,44862.97,13,9,2.0,ES,pro,1
66,79021.83,49,11,0.0,NL,pro,1
35,57948.75,64,12,1.0,CA,starter,1
23,68086.94,11,16,1.0,TR,starter,0
40,,70,17,2.0,NL,free,0
65,75787.45,17,7,1.0,DE,free,0
26,31869.87,9,11,0.0,CA,free,1
66,53910.92,30,16,2.0,ES,starter,1
52,76544.57,20,12,,NL,free,0
62,97175.75,8,11,4.0,CA,free,0
65,62641.7,22,11,3.0,NL,starter,0
37,91601.06,14,10,3.0,DE,free,0
24,58921.3,23,10,3.0,NL,free,0
71,69051.41,19,11,4.0,NL,starter,0
50,79032.91,5,11,3.0,ES,free,0
71,51755.92,47,11,3.0,,free,1
59,64781.94,58,15,1.0,CA,free,0
25,47147.35,25,18,0.0,DE,starter,0
69,53955.72,5,14,1.0,ES,pro,1
23,45353.99,26,9,3.0,NL,free,0
23,62841.64,39,10,1.0,TR,free,0
20,,6,12,1.0,NL,pro,1
58,90613.71,38,9,4.0,DE,starter,0
62,33994.85,53,11,3.0,NL,pro,0
51,40754.33,53,6,2.0,DE,pro,1
24,40313.36,59,14,0.0,ES,starter,1
66,39462.58,36,16,4.0,NL,pro,1
45,58209.91,57,11,2.0,ES,free,0
29,81599.08,47,14,2.0,DE,pro,1
47,61322.31,38,13,2.0,DE,starter,0
57,56428.93,33,14,2.0,TR,starter,0
23,79254.06,21,6,4.0,CA,free,0
51,31140.78,66,9,2.0,DE,free,0
30,52632.95,63,9,3.0,CA,starter,1
70,100695.25,66,5,3.0,NL,starter,1
54,62973.9,37,10,2.0,TR,pro,0
30,92925.18,66,3,3.0,TR,starter,1
62,42635.85,12,10,3.0,ES,free,0
59,66977.96,40,7,1.0,NL,starter,1
30,,26,14,3.0,TR,starter,0
53,65373.31,34,10,2.0,TR,starter,0
25,18000.0,70,18,4.0,DE,free,0
19,34187.73,22,8,4.0,TR,free,0
66,32712.35,56,9,0.0,ES,starter,0
42,52470.51,31,12,,DE,starter,0
53,86435.16,43,8,1.0,TR,pro,1
39,54048.14,56,9,1.0,TR,free,0
18,84920.46,64,11,2.0,TR,free,0
20,38060.34,71,12,0.0,CA,starter,0
52,64069.06,69,13,4.0,CA,free,1
42,31775.59,35,7,0.0,NL,starter,1
33,71093.69,26,19,3.0,TR,starter,1
35,50578.23,54,10,2.0,ES,free,1
44,40844.84,17,6,0.0,CA,starter,0
50,45770.69,25,11,2.0,ES,pro,0
67,45851.71,50,8,4.0,CA,starter,1
31,81789.28,22,16,0.0,DE,pro,0
31,67603.6,28,8,1.0,ES,free,0
48,79894.13,68,14,0.0,DE,starter,1
18,44411.01,24,12,3.0,TR,pro,0
68,54816.19,72,14,1.0,TR,starter,0
28,91701.9,56,13,3.0,TR,starter,0
40,27164.26,20,13,3.0,ES,free,0
49,76005.3,27,10,2.0,TR,starter,0
22,,60,7,2.0,ES,free,0
45,72306.13,54,5,0.0,CA,free,0
30,53488.26,53,4,5.0,DE,pro,1
66,59847.71,62,6,4.0,TR,starter,1
67,87351.1,12,13,1.0,,starter,1
46,66682.36,32,13,4.0,CA,starter,0
69,54525.61,19,12,0.0,CA,starter,1
43,48878.29,48,9,1.0,DE,pro,0
69,76645.43,28,4,5.0,DE,free,0
32,71430.17,39,10,4.0,NL,starter,0
64,74742.69,67,11,2.0,TR,free,1
67,70875.56,36,10,0.0,NL,free,1
62,64801.7,24,15,0.0,TR,starter,1
25,81617.35,44,7,2.0,,pro,1
59,60108.54,1,14,1.0,ES,starter,0
49,59977.15,5,11,3.0,NL,starter,1
26,107295.33,59,12,2.0,CA,pro,1
63,71794.77,8,16,3.0,,starter,0
26,44311.14,4,11,1.0,ES,pro,0
26,18000.0,1,10,1.0,ES,free,0
61,58440.68,21,10,1.0,TR,pro,1
43,60032.53,67,22,2.0,ES,starter,0
27,56065.48,20,16,0.0,DE,starter,0
63,69388.5,48,14,2.0,ES,starter,1
49,59471.61,64,10,1.0,CA,starter,0
47,77804.43,55,12,2.0,DE,starter,1
71,40835.76,44,12,1.0,DE,free,1
27,77185.98,43,5,3.0,NL,free,0
20,57026.59,22,10,0.0,TR,pro,1
59,18000.0,23,16,0.0,DE,starter,1
60,49225.99,65,8,2.0,DE,free,0
25,106883.83,11,8,2.0,CA,starter,0
31,30061.37,60,13,4.0,TR,free,0
57,48944.12,47,10,1.0,TR,free,0
60,45330.57,44,14,2.0,NL,free,0
25,36256.02,53,9,2.0,ES,free,0
58,70121.43,3,11,3.0,TR,free,0
59,82534.91,64,9,1.0,NL,starter,1
22,69326.92,14,14,3.0,,free,0
18,40745.06,66,12,2.0,ES,free,0
41,50907.65,29,6,3.0,ES,pro,1
68,43509.68,63,10,2.0,NL,pro,1
65,65931.1,19,14,1.0,NL,free,1
52,61730.89,67,10,1.0,TR,starter,0
36,88130.72,35,9,2.0,NL,free,0
55,78552.29,27,12,3.0,NL,starter,1
32,34939.38,16,9,2.0,CA,starter,0
57,22646.41,31,12,3.0,TR,free,0
46,57777.38,34,10,2.0,TR,free,0
65,53002.83,44,14,2.0,DE,pro,1
20,70988.69,71,13,3.0,TR,starter,1
25,49113.8,55,13,2.0,NL,starter,1
58,78976.75,41,9,4.0,TR,starter,1
21,51969.88,66,14,0.0,CA,pro,0
27,51936.12,20,12,0.0,ES,pro,1
34,43182.35,10,9,2.0,TR,starter,0
44,62123.4,68,10,1.0,NL,pro,0
64,85813.73,47,8,2.0,DE,free,1
23,71950.02,1,10,4.0,TR,pro,0
59,86672.86,39,9,1.0,NL,starter,0
55,35897.87,11,11,2.0,CA,free,0
27,87816.79,59,13,0.0,DE,pro,1
24,65762.29,27,15,6.0,CA,starter,0
41,79143.03,40,15,0.0,TR,starter,0
21,52875.33,52,10,1.0,ES,starter,1
43,66716.55,50,11,2.0,ES,starter,0
52,89627.98,18,10,4.0,NL,free,0
57,50214.33,64,8,5.0,TR,starter,0
51,51356.05,63,9,2.0,CA,pro,0
42,68450.4,52,10,5.0,,free,1
47,110308.03,67,7,0.0,NL,free,1
46,44587.9,42,4,4.0,CA,pro,1
31,65528.76,48,10,1.0,CA,starter,0
50,81042.94,51,10,4.0,DE,pro,1
66,42959.98,54,10,4.0,CA,free,0
49,38533.35,24,10,1.0,ES,free,0
40,58081.53,69,7,2.0,ES,free,0
66,44326.87,22,11,3.0,DE,starter,0
20,52309.46,48,11,3.0,ES,free,0
53,71786.51,12,13,2.0,TR,free,0
28,87152.06,61,11,0.0,CA,starter,0
69,90008.37,30,11,0.0,NL,free,1
40,60671.92,31,12,2.0,TR,starter,1
32,48222.26,4,9,3.0,CA,pro,0
55,46949.53,60,12,0.0,NL,free,1
52,78602.98,41,8,2.0,NL,pro,0
29,49328.56,13,10,2.0,,starter,0
26,37183.49,24,13,1.0,CA,free,0
19,23280.61,25,15,2.0,TR,starter,0
19,64169.84,28,15,,CA,free,0
54,,62,8,1.0,CA,free,1
39,28897.59,37,13,1.0,CA,free,1
67,63298.29,32,13,1.0,ES,starter,0
46,73277.78,57,12,1.0,ES,free,1
28,111519.55,7,13,5.0,ES,starter,1
23,42459.0,3,10,2.0,DE,pro,0
20,89896.98,56,11,1.0,TR,starter,1
40,91165.85,60,12,2.0,DE,free,1
43,89500.77,51,12,1.0,TR,pro,1
46,90768.91,68,11,0.0,DE,pro,1
27,84017.65,58,9,3.0,NL,free,0
48,65622.39,59,12,3.0,DE,starter,1
34,102027.67,61,9,4.0,ES,pro,1
51,90717.12,9,10,3.0,NL,pro,0
60,73496.51,9,17,1.0,DE,pro,0
53,55936.2,64,7,1.0,ES,free,0
23,100397.78,35,13,4.0,TR,pro,1
54,29953.47,29,17,3.0,NL,starter,1
41,83166.53,19,9,2.0,ES,pro,0
60,57980.73,4,11,0.0,TR,pro,0
57,18000.0,67,11,1.0,NL,pro,1
49,46302.13,71,15,2.0,DE,pro,1
34,81292.0,61,17,2.0,ES,free,1
43,37473.17,35,17,3.0,TR,starter,1
69,59788.74,46,10,1.0,CA,free,1
31,47168.9,4,10,0.0,CA,free,0
19,93482.14,63,14,7.0,ES,starter,0
37,61875.11,1,9,1.0,TR,pro,0
56,18000.0,39,10,1.0,NL,starter,1
29,67474.21,34,13,2.0,DE,starter,0
25,77902.96,35,10,0.0,DE,pro,0
40,89269.18,3,8,1.0,CA,pro,0
29,73725.03,53,7,1.0,ES,starter,1
38,57175.7,48,11,1.0,ES,free,0
29,55481.18,36,9,1.0,TR,free,0
32,68867.49,44,8,2.0,NL,free,0
29,55721.58,40,17,3.0,NL,pro,0
22,106390.08,17,11,4.0,TR,free,0
25,77227.0,35,11,3.0,TR,starter,0
49,21741.45,12,14,0.0,TR,free,0
40,90370.26,29,14,1.0,NL,pro,1
24,79549.36,43,17,1.0,DE,starter,1
45,69386.93,24,14,0.0,ES,free,0
28,26907.49,22,12,1.0,DE,free,1
61,51914.45,52,12,2.0,TR,starter,1
19,76668.24,30,7,3.0,TR,free,0
30,71682.21,59,10,0.0,TR,free,0
58,24159.02,7,8,2.0,ES,starter,0
69,51981.65,33,13,2.0,TR,free,0
21,57130.47,35,14,3.0,CA,starter,0
50,55473.98,7,11,0.0,NL,free,0
50,45727.53,68,10,1.0,CA,free,0
54,35244.2,53,10,3.0,ES,pro,1
52,31938.52,49,12,3.0,CA,pro,0
34,62879.27,56,10,2.0,DE,pro,0
37,29396.77,65,7,2.0,DE,starter,0
25,67300.01,24,8,1.0,NL,pro,1
19,97653.97,33,16,0.0,DE,free,1
20,63316.82,72,12,1.0,NL,free,1
71,26800.03,20,7,2.0,NL,starter,0
