ad_spend,visitors,avg_session_minutes,conversion_rate,email_share,region,season,revenue
16524.47,122599,6.64,0.0177,0.4938,South,Q4,181761.28
16285.34,80886,1.74,0.006,0.2699,West,Q4,140123.94
27842.57,84685,7.86,0.0365,0.7235,South,Q1,235513.55
11968.26,118082,4.25,0.0668,0.2946,South,Q3,269388.35
11936.19,124445,7.06,0.0286,0.4065,South,Q1,158631.46
10087.5,94881,2.37,0.0435,0.1115,North,Q2,146743.14
12082.66,77342,5.0,0.04,0.1592,North,Q2,152731.14
27266.6,106909,4.97,0.0369,0.3296,East,Q2,197491.31
16385.75,95662,3.74,0.0485,0.3214,East,Q2,166827.31
13462.37,84137,4.95,0.0356,0.3728,,Q3,175764.83
12098.55,67632,3.29,0.0258,0.1655,East,Q3,130855.87
6009.85,104842,6.65,0.0281,0.6102,South,Q2,176720.32
17186.06,73429,6.19,0.0297,0.0569,West,Q3,158582.59
12091.56,79857,2.72,0.0446,0.3414,West,Q3,176321.15
11642.77,104844,5.87,0.0133,0.0974,South,Q1,101542.41
9027.54,92660,5.47,0.045,0.3423,West,Q4,191514.05
14277.82,85164,4.8,0.0386,0.298,East,Q1,177806.76
26542.61,68089,5.0,0.0363,0.3884,West,Q2,188040.56
27037.65,91252,3.33,0.0281,0.2461,West,Q2,154751.88
10254.22,117497,5.07,0.0312,0.1022,South,Q1,167150.21
19109.92,58117,5.86,0.0319,0.5078,North,Q2,171846.45
28561.6,101714,2.92,0.0287,0.2146,South,Q1,180096.77
14994.71,68579,4.29,0.0168,0.1735,East,Q2,128538.37
2000.0,98023,5.94,0.0233,0.4627,North,Q4,151104.63
17386.34,81378,3.73,0.0117,0.4339,East,Q2,108371.38
22718.69,37394,5.68,0.049,0.4107,North,Q2,161465.78
21311.6,85449,1.2,0.0242,0.3482,North,Q1,139869.08
19149.41,74140,6.53,0.0358,0.2005,East,Q1,194554.52
12835.94,61757,3.06,0.032,0.2766,South,Q4,84752.04
17557.39,85236,2.18,0.03,0.3646,West,Q1,149508.16
4790.29,117658,2.8,0.0441,0.1913,East,Q3,148804.97
14985.34,62115,4.84,0.0635,0.7036,North,Q4,220421.5
29483.38,107147,5.19,0.0138,0.1999,North,Q4,179173.28
20349.61,96039,4.56,0.059,0.0893,East,Q1,242867.34
18012.34,59764,4.92,0.0166,0.3048,South,Q1,102937.25
14731.99,157525,6.02,0.013,0.1716,South,Q1,150047.14
13480.71,65601,7.94,0.0546,0.2162,North,Q2,172799.64
19211.38,108669,4.21,0.0354,0.1818,East,Q2,163957.3
22040.89,82450,7.5,0.0312,0.2115,North,Q2,157784.8
21535.15,68996,4.28,0.0563,0.2787,South,Q3,199501.05
19754.98,102792,7.24,0.0228,0.3168,East,Q4,179705.58
22611.71,82068,4.69,0.0146,0.1607,South,Q4,136997.41
8148.01,57052,5.02,0.0374,0.75,North,Q4,157349.61
10859.05,98374,5.85,0.0455,0.1645,North,Q1,208586.93
23953.86,132976,3.73,0.0381,0.0783,East,Q1,205010.81
16340.18,15000,1.39,0.0223,0.5958,East,Q4,100313.72
17846.2,134909,5.57,0.0578,0.5083,East,Q3,288694.71
21796.16,117005,3.37,0.0177,0.1111,West,Q1,163763.57
18163.96,60122,3.94,0.0187,0.4719,West,Q2,121324.0
13072.57,97583,8.24,0.0379,0.0363,North,Q2,186628.04
26562.38,141412,6.38,0.006,0.1534,East,Q4,191280.74
7655.78,110629,4.93,0.023,0.6375,South,Q1,148301.72
25595.85,125929,2.89,0.052,0.3052,North,Q1,250517.89
18084.22,92056,4.41,0.0435,0.4456,West,Q1,158101.79
10378.75,128716,5.82,0.0479,0.3866,West,Q1,240426.51
21613.54,87744,7.79,0.043,0.2407,East,Q1,196049.74
13804.67,82915,5.32,0.0406,0.2282,North,Q4,169535.68
11144.1,105451,3.9,0.0289,0.6726,South,Q2,182657.61
19664.76,101298,4.86,0.0115,0.358,West,Q1,139837.0
22154.39,86741,5.72,0.034,0.1163,East,Q3,153865.97
25442.13,114351,1.84,0.0217,0.2045,South,Q1,124470.76
28627.69,97406,5.31,0.0488,0.3384,West,Q1,226379.06
21680.76,88874,3.66,0.0379,,West,Q4,204851.01
14711.0,121979,1.25,0.0258,0.2082,West,Q4,173940.41
16787.31,42633,3.74,0.0364,0.0661,North,Q3,125203.18
17253.92,119979,6.54,0.0357,0.3202,North,Q4,212070.58
16809.21,127754,4.66,0.006,0.274,South,Q1,126665.49
26569.83,151083,4.28,0.0573,0.2364,South,Q4,301933.1
23425.66,130279,5.77,0.0267,0.3138,East,Q2,169928.4
2392.53,129585,6.66,0.0468,0.2579,West,Q1,198994.0
25123.17,119605,5.44,0.0278,0.6344,South,Q1,172750.77
21846.05,102002,4.56,0.0137,0.2671,West,Q1,168811.89
6684.88,85371,4.63,0.0376,0.4667,West,Q4,181261.9
19345.32,79753,3.84,0.0605,0.3202,West,Q2,160964.11
24817.79,78263,5.27,0.0473,0.5282,East,Q1,190510.37
20095.68,80323,5.15,0.0316,0.152,East,Q3,129800.18
20365.15,107122,3.45,0.0471,0.3098,North,Q1,211936.74
14912.16,67621,7.98,0.0202,0.4011,South,Q1,185847.25
2000.0,62742,5.15,0.015,0.5247,North,Q1,100454.32
13773.71,124476,6.1,0.0373,0.1459,West,Q4,266046.44
28543.92,71095,5.38,0.0457,0.0885,West,Q2,180227.26
12536.64,35086,6.33,0.0364,0.1953,East,Q4,173034.23
24071.44,47888,4.61,0.0291,0.295,North,Q2,126820.93
22919.49,80542,6.96,0.0541,0.1254,West,Q2,235421.97
7488.11,93277,2.07,0.0573,0.1306,North,Q3,151757.84
19063.5,129421,5.02,0.0179,0.155,West,Q4,147600.61
23362.73,73135,3.77,0.0418,0.2349,North,Q4,176537.86
21123.27,131969,5.01,0.0232,0.3285,West,Q2,141784.8
27767.41,143873,6.37,0.0285,0.5442,North,Q2,177494.99
24483.02,59039,4.95,0.0167,0.4962,South,Q4,154461.12
19720.2,91624,5.6,0.0329,0.2268,North,Q3,201711.58
15689.78,135077,3.68,0.0302,0.2873,North,Q2,150821.69
18766.51,81816,6.49,0.0327,0.1929,West,Q4,172671.1
20690.24,66642,3.36,0.0198,0.3927,East,Q4,154314.57
15022.81,134750,4.4,0.0489,0.6216,South,Q3,206309.44
25196.44,94142,6.47,0.026,0.3466,South,Q1,196220.76
11368.28,75343,4.17,0.0378,0.1284,South,Q2,127597.01
9494.41,112602,5.19,0.0358,0.192,North,Q3,146901.8
21153.98,79134,5.03,0.0352,0.6087,South,Q4,197426.23
21444.05,101893,5.63,0.0336,0.1779,West,Q3,158516.62
21878.23,88175,5.09,0.0428,0.3371,East,Q4,218922.5
20924.13,104452,6.04,0.0364,0.3974,West,Q2,187639.55
14829.92,82406,4.16,0.0377,0.2909,South,Q4,202331.05
21299.5,107201,2.43,0.0107,0.2522,West,Q4,167616.15
13204.98,87521,,0.0299,0.2634,North,Q1,131873.99
10883.9,128892,5.14,0.0473,0.2336,South,Q4,231311.1
17260.39,155206,9.12,0.0206,0.2272,South,Q1,167068.7
13709.38,112170,6.1,0.0514,0.192,East,Q2,240398.79
10344.61,73624,2.42,0.006,0.133,West,Q1,111089.36
26806.53,73043,4.86,0.0239,0.0815,South,Q2,149725.5
18027.78,83083,1.76,0.0412,0.3138,East,Q3,152930.04
14861.91,59808,1.78,0.017,0.2229,East,Q1,88481.01
20037.99,58559,4.78,0.0358,0.3091,West,Q4,184282.59
17641.85,106552,4.83,0.0174,0.1417,East,Q2,89490.94
17516.37,127199,7.59,0.0196,0.387,North,Q3,165419.93
22480.26,161793,5.89,0.0109,0.639,West,Q4,167275.25
18119.3,90536,3.14,0.0281,0.5122,South,Q1,124849.52
19436.15,90078,3.26,0.032,0.1379,West,Q4,173651.16
14930.71,39567,7.08,0.0349,0.2065,South,Q4,185990.3
17497.74,123823,3.9,0.0257,0.5137,North,Q3,151026.09
4028.96,80538,4.98,0.0515,0.1824,East,Q1,143953.17
17428.97,78411,7.14,0.0539,0.611,West,Q1,210160.16
18291.14,95245,6.34,0.0214,0.3785,North,Q2,153153.63
9938.04,109126,6.09,0.0358,0.4633,North,Q1,176154.39
14972.31,72673,3.45,0.0251,0.4389,East,Q2,135797.29
3583.27,98549,2.7,0.0388,,South,Q4,128189.76
15881.05,120359,5.62,0.0538,0.4293,West,Q3,236462.33
6183.47,77400,5.57,0.0358,0.1444,North,Q3,101910.78
14256.85,47990,,0.027,0.1915,South,Q1,136763.26
18153.09,146823,4.79,0.0317,0.171,North,Q1,214010.08
25412.7,109338,3.94,0.0325,0.3563,South,Q2,201754.79
24415.53,93313,5.17,0.0116,0.3801,South,Q2,138676.29
16820.22,111492,3.25,0.0587,0.75,South,Q4,235098.35
3942.96,89293,4.08,0.0396,0.4022,West,Q3,125400.17
21127.36,80702,3.84,0.0315,0.3911,South,Q3,159425.05
39257.76,61809,1.2,0.0312,0.2262,West,Q3,190255.27
2000.0,82364,4.8,0.0358,0.151,North,Q3,128573.15
13020.45,95564,6.84,0.0284,0.1052,East,Q1,129823.77
25708.39,110311,2.72,0.0284,0.187,East,Q1,155367.65
23151.5,96219,4.95,0.0116,0.2639,South,Q2,134175.79
16541.55,128991,4.32,0.0208,0.2193,South,Q1,137840.36
27677.38,104266,5.4,0.0283,0.1633,South,Q4,190016.8
12735.57,116946,6.21,0.0198,0.1508,West,Q1,141068.54
17538.07,60287,5.87,0.0319,0.4522,South,Q2,135916.7
16544.99,67422,2.14,0.0285,0.2303,North,Q4,126490.29
17490.6,140018,4.56,0.0272,0.4808,West,Q4,159929.26
10001.23,75553,4.86,0.0501,0.4898,West,Q1,159439.73
16275.4,78560,4.97,0.0471,0.3294,,Q2,182489.72
27994.3,121047,4.92,0.0386,0.2186,South,Q2,205997.88
10883.02,35083,3.49,0.0227,0.3102,South,Q2,116951.47
8374.66,132045,4.11,0.0272,0.4189,South,Q4,146516.87
12374.56,114069,3.77,0.0066,0.592,East,Q2,115343.96
11655.89,95561,4.88,0.0195,0.1488,East,Q4,158255.73
23544.63,140616,1.2,0.0234,0.1449,East,Q4,143739.84
22121.49,93933,1.87,0.0209,0.161,West,Q4,142939.64
24789.85,97104,5.95,0.0395,0.2637,West,Q3,236228.02
16724.62,84064,6.74,0.0428,0.4777,West,Q2,202553.14
9117.95,74494,4.32,0.0555,0.5208,North,Q3,149694.38
14793.22,93317,5.9,0.0259,0.454,West,Q2,168368.86
5499.16,67409,6.49,0.0235,0.2538,South,Q3,132827.81
20116.14,95041,3.53,0.0371,0.256,West,Q3,166921.41
10701.62,94659,5.03,0.046,0.2341,West,Q3,202367.37
25739.78,99563,4.55,0.0326,0.2274,West,Q1,180300.39
9316.69,114891,3.45,0.0606,0.0676,West,Q4,239867.06
3681.36,98292,3.24,0.022,0.153,West,Q4,147576.4
22220.67,116973,3.74,0.0373,0.2078,West,Q1,197592.15
8027.94,87156,2.64,0.0218,0.3106,North,Q1,95517.12
12946.11,85480,4.62,0.0349,0.0945,South,Q4,153647.41
14379.92,113714,4.51,0.0451,0.5738,North,Q2,209442.15
30009.98,116147,3.18,0.0404,0.0446,West,Q3,177273.01
19436.77,67273,1.2,0.0288,0.1346,West,Q3,131222.87
18599.31,168385,4.15,0.0355,0.3549,West,Q1,241963.85
9194.01,92209,6.13,0.0373,0.4759,South,Q4,197615.68
14064.06,106717,4.33,0.0449,0.75,South,Q3,220324.82
4139.03,69226,5.13,0.0414,0.4517,South,Q4,176190.22
28297.16,119088,6.18,0.0384,,East,Q4,236915.0
22243.92,89127,3.4,0.0229,0.3844,West,Q1,151574.16
16745.33,103203,3.84,0.0384,0.1601,South,Q2,182972.34
18720.67,89108,3.92,0.0403,0.1213,West,Q4,184308.96
28329.23,110300,6.18,0.0335,0.5951,South,Q2,215213.34
22621.53,98812,6.36,0.039,0.3567,West,Q3,217117.38
18856.0,68725,6.73,0.0526,0.2667,East,Q3,178600.01
21430.6,71097,3.67,0.0213,0.593,East,Q2,122019.29
23851.44,136706,5.74,0.0341,0.4244,West,Q3,187535.06
29293.44,115123,,0.0261,,North,Q1,209080.97
32831.63,96449,4.55,0.0519,0.3888,East,Q3,259275.5
16623.44,81513,4.74,0.0378,0.0798,South,Q2,129132.98
12093.74,70817,7.91,0.033,0.2973,South,Q3,151205.8
18978.58,116553,4.82,0.0292,0.4406,North,Q1,159447.95
11277.74,55757,4.93,0.0284,0.028,South,Q3,86864.06
19916.58,99211,6.94,0.0436,0.3459,West,Q4,250875.99
16114.24,128561,7.2,0.0426,0.3723,North,Q3,200484.27
20322.98,109134,7.64,0.0324,0.0589,South,Q2,173273.84
12678.13,116263,4.21,0.026,0.4152,East,Q1,176986.24
9179.99,111766,3.73,0.0325,0.6748,South,Q3,139343.62
18761.02,68403,4.25,0.019,0.3845,South,Q4,159918.87
18723.98,76520,5.83,0.0262,0.6099,South,Q3,151391.77
2000.0,62557,6.43,0.0391,0.4394,North,Q4,144067.57
21000.74,63795,5.01,0.0328,0.4685,East,Q3,161483.93
10725.95,81936,3.52,0.024,0.2503,South,Q3,138329.54
17684.47,87767,6.32,0.0447,0.2377,South,Q2,218928.04
13653.82,64346,3.26,0.0247,0.5273,South,Q2,124272.88
29018.19,157070,3.51,0.0427,0.4913,North,Q2,260294.89
26737.47,124572,3.99,0.0357,0.1297,,Q1,183447.95
16175.56,120562,8.08,0.0295,0.3599,West,Q3,199904.75
7497.7,95482,4.88,0.0437,0.3244,East,Q1,161326.4
21476.42,149531,2.58,0.0575,0.3389,East,Q1,288494.52
19827.62,139447,5.41,0.0421,0.3338,West,Q4,256564.6
15219.4,84577,5.22,0.0442,0.2194,East,Q4,217470.33
14927.75,56236,7.55,0.04,0.7467,South,Q2,168805.58
15667.52,95020,4.26,0.0329,0.4387,West,Q3,192388.78
2932.3,124396,7.87,0.0386,0.2101,East,Q4,240738.05
30492.36,60387,3.43,0.0267,0.1338,South,Q3,137377.84
12065.61,112406,6.55,0.0494,0.2399,North,Q1,228430.8
7007.28,88019,3.62,0.0354,0.1794,North,Q3,144010.5
18936.49,119338,5.74,0.0449,0.3398,South,Q2,245468.86
18702.71,86066,,0.0506,0.2436,East,Q1,192558.25
13569.26,120132,6.25,0.0271,0.6006,East,Q4,201412.89
11102.98,92188,4.9,0.0213,0.2724,North,Q4,127886.81
15078.92,79844,5.0,0.0273,0.3906,East,Q1,166305.42
19924.37,105501,6.52,0.0153,0.1707,South,Q1,145459.04
20073.94,85061,3.36,0.006,,West,Q1,113447.0
18205.34,97167,5.92,0.0269,0.6637,South,Q2,181665.71
14968.24,117762,3.43,0.0419,0.1332,South,Q3,194056.72
20339.22,98589,7.87,0.0239,0.5988,West,Q4,230535.57
11789.88,103161,6.47,0.0293,0.3897,West,Q3,179325.72
2000.0,70063,6.33,0.0144,0.1775,West,Q3,107844.69
24075.37,124799,3.18,0.0279,0.4664,West,Q3,185325.29
17644.76,94792,5.0,0.0314,0.2684,South,Q4,204990.2
29972.04,103729,6.45,0.0457,0.3514,East,Q3,231814.68
12650.36,133924,4.29,0.0335,0.3055,North,Q3,213315.39
24786.08,88415,4.25,0.0286,0.3161,North,Q4,183865.25
26963.7,92136,3.79,0.0195,0.4161,East,Q3,153657.56
7502.07,129564,4.72,0.0256,0.1629,South,Q1,140528.61
16780.78,84902,7.58,0.0281,0.3604,South,Q2,175850.35
12812.02,73098,3.88,0.0279,0.0961,North,Q4,140637.63
16719.8,158673,5.53,0.0164,0.0933,North,Q3,142413.17
22188.45,82926,5.48,0.0317,0.3819,West,Q1,163485.26
10538.84,73188,4.57,0.043,0.2373,East,Q3,158479.16
26609.92,93453,6.18,0.0347,0.3647,North,Q1,187917.9
22886.53,73563,1.23,0.0164,,East,Q3,151036.44
10676.36,89016,8.01,0.0285,0.2529,North,Q2,175920.1
12420.8,149248,3.59,0.0208,0.2585,North,Q4,165182.82
15368.64,118595,4.3,0.027,0.1897,East,Q2,133287.89
22681.31,65793,4.28,0.0158,0.4087,North,Q1,117885.02
19433.42,104723,5.39,0.0442,0.3204,East,Q1,197041.27
18208.13,93061,3.84,0.035,0.4361,East,Q1,160265.71
23238.2,96823,4.47,0.0479,0.4258,East,Q4,220306.94
18820.63,132254,7.85,0.0341,0.27,North,Q3,223226.55
15168.06,127451,5.62,0.0453,0.2043,West,Q1,231138.64
26644.93,99632,6.12,0.0372,0.2188,South,Q1,204539.63
22109.72,140291,3.24,0.029,0.75,East,Q1,209282.76
7750.9,144567,5.22,0.0494,0.1227,West,Q1,227299.54
10802.86,69786,6.27,0.0374,0.5014,West,Q1,172206.7
11896.58,76862,,0.0127,0.0515,East,Q2,120103.64
6857.88,80855,4.25,0.0328,0.6427,North,Q1,119353.81
10907.25,80882,4.36,0.0332,0.6892,West,Q2,129537.55
20903.09,110358,2.56,0.0396,0.3452,North,Q3,185918.66
21182.04,39296,4.28,0.049,0.6413,West,Q3,171235.61
17371.86,89461,4.14,0.007,0.5301,East,Q2,95057.85
16780.55,104700,4.18,0.0357,0.0883,East,Q3,160413.25
4961.4,96239,3.89,0.0403,0.2515,North,Q1,151540.53
28451.54,73464,3.42,0.023,0.1667,West,Q4,200075.5
21532.23,94027,3.11,0.0328,0.0848,North,Q1,149628.66
17380.74,106292,4.36,0.0262,0.3325,West,Q4,175615.0
23315.22,87860,3.57,0.0157,0.2862,West,Q3,116101.88
23525.65,109135,3.54,0.0241,0.1725,East,Q4,169467.25
22807.54,133007,2.97,0.0392,0.4145,East,Q4,230007.72
30142.8,62767,4.6,0.0223,0.3224,North,Q1,142608.49
26824.44,112334,3.81,0.0369,0.6041,East,Q1,188178.07
16053.31,76661,6.6,0.055,0.2414,South,Q4,211382.91
9403.11,116367,3.97,0.0242,0.3509,North,Q2,161383.22
16504.6,97152,3.85,0.0298,0.3477,West,Q3,175129.77
15719.81,130016,5.8,0.049,0.4028,North,Q2,251332.32
30683.26,70010,4.47,0.0346,0.1243,East,Q1,145752.18
15522.73,154195,3.39,0.0383,0.2264,South,Q2,196570.91
26669.51,126693,3.53,0.006,0.7094,North,Q3,106382.57
21812.32,73745,6.64,0.0511,0.1562,West,Q2,210487.79
21802.06,68540,4.5,0.0377,0.5713,North,Q2,160752.26
18159.16,134527,6.28,0.0389,0.213,West,Q2,204497.4
26727.24,95573,4.26,0.0556,0.4242,East,Q2,235114.33
19994.38,100886,5.98,0.0479,0.0937,South,Q3,218680.47
13170.44,95610,4.71,0.0261,0.5307,West,Q4,166414.94
28418.13,96547,5.97,0.0622,0.2592,West,Q2,236238.36
23884.19,135370,5.07,0.024,0.4763,North,Q2,183821.97
9196.33,105690,5.88,0.0318,0.3343,East,Q3,159565.32
21153.94,31782,5.38,0.0371,0.298,North,Q2,161833.14
7155.6,99059,4.1,0.0332,0.2014,West,Q1,172608.65
31569.99,152814,5.38,0.054,0.5743,North,Q1,348341.72
24049.63,124140,3.56,0.0531,0.3654,North,Q1,227931.75
18910.42,74050,5.97,0.0337,0.4862,East,Q4,167533.79
15920.72,95975,5.13,0.0357,0.3754,North,Q4,201732.87
15831.82,76354,5.91,0.0237,0.072,South,Q3,141588.9
17181.13,76080,6.93,0.0333,0.2715,South,Q3,162267.25
19482.41,71275,4.67,0.0198,0.3994,North,Q4,184677.6
4998.47,85854,3.78,0.0397,0.3355,West,Q2,113222.55
11519.81,143819,3.22,0.0255,0.4045,North,Q4,194223.79
19145.04,100817,3.54,0.0211,0.6044,West,Q4,156347.67
10435.09,62158,2.84,0.0246,0.5893,South,Q2,99088.65
24870.61,53727,5.92,0.0305,0.2814,,Q3,137438.27
15996.94,140046,2.91,0.0272,0.394,North,Q4,147689.81
14886.19,96599,3.9,0.0326,0.2339,South,Q4,159590.48
11167.03,85455,4.85,0.0317,0.1156,South,Q4,163253.03
13757.3,95758,6.39,0.0256,0.6304,North,Q1,159185.34
24656.23,65558,5.03,0.036,0.2482,West,Q2,157902.28
22655.74,78496,3.63,0.041,0.1994,East,Q4,170728.24
15142.17,99834,4.37,0.0411,0.4633,South,Q4,233973.56
21110.4,137298,5.05,0.0279,0.1914,West,Q4,216074.89
13669.88,101175,6.54,0.0283,0.1176,South,Q1,158419.18
21326.07,113610,,0.0219,0.2597,East,Q4,176183.05
17234.06,105248,3.74,0.035,0.5348,East,Q3,200599.45
19446.3,62014,4.84,0.0321,0.3471,South,Q1,132999.31
13939.07,152070,4.43,0.0337,0.4877,West,Q4,230301.13
29363.71,104395,4.84,0.0443,0.4579,East,Q1,213290.49
19725.12,121203,2.97,0.0361,0.2767,South,Q2,194936.18
25078.6,69219,4.36,0.0347,0.2755,East,Q4,157018.09
17898.5,113813,5.28,0.0234,0.0446,West,Q4,211611.75
15269.27,98883,4.28,0.0268,0.3159,East,Q4,142258.63
24242.78,102707,6.12,0.0353,0.352,West,Q4,207630.56
20944.88,102864,3.25,0.0461,0.4316,East,Q1,156649.35
17619.2,57274,2.98,0.0445,0.5798,South,Q4,174555.24
21933.15,85086,4.22,0.0133,0.6026,West,Q3,133675.73
10036.47,92328,4.05,0.006,0.3553,South,Q1,107058.66
22322.18,124324,4.32,0.0261,0.2365,West,Q1,171343.45
35771.83,108499,4.91,0.0525,0.4075,South,Q1,222245.54
16047.9,95304,7.24,0.0303,0.0626,East,Q4,212486.05
19911.56,106194,5.58,0.0299,0.3681,South,Q3,141316.17
17929.73,120539,4.75,0.0354,0.2418,East,Q4,203212.23
18266.77,45289,1.2,0.0216,0.1946,South,Q4,96652.37
26340.73,81687,7.83,0.043,0.3068,North,Q1,237162.34
29073.85,69558,,0.0325,0.5111,South,Q2,167496.79
18923.63,111363,5.79,0.0185,0.0717,North,Q3,169265.57
22377.32,115301,5.35,0.0168,0.1165,North,Q3,96589.7
20961.89,73048,4.86,0.0297,0.0981,North,Q3,178714.37
20488.73,86263,5.94,0.0424,0.4549,West,Q4,209144.66
20688.67,111865,3.07,0.0495,0.178,North,Q4,179618.45
6830.85,101891,5.65,0.037,0.0753,East,Q4,194236.82
13346.01,86363,4.79,0.0181,0.3334,South,Q2,149239.77
13895.11,48850,4.07,0.0392,0.4489,East,Q2,141256.82
24512.7,68903,4.35,0.0344,0.2177,East,Q3,199475.94
20913.29,129896,,0.0464,0.0653,West,Q1,210202.77
16411.72,65802,1.2,0.0187,0.3827,East,Q2,119965.87
22035.69,55186,4.04,0.0349,0.1355,South,Q3,157670.37
14312.37,85440,5.72,0.0397,0.6976,West,Q2,172833.57
21043.2,128322,6.63,0.0172,0.3055,North,Q4,176368.19
23356.07,89498,6.08,0.02,0.0962,South,Q3,162355.16
13577.94,129952,,0.0159,0.75,East,Q2,134762.43
16674.25,142877,7.27,0.03,0.3296,East,Q1,214797.42
7209.79,83538,2.65,0.0368,0.1836,East,Q3,121213.42
14710.8,58714,2.96,0.036,,North,Q2,109622.48
22297.33,104886,3.27,0.0389,0.4727,South,Q2,139342.54
29484.05,88839,7.05,0.0344,0.6866,South,Q2,199381.9
16793.99,74633,7.81,0.0307,0.4146,East,Q4,177401.98
20494.78,124201,4.89,0.0403,0.2212,West,Q1,215307.61
12263.73,59089,,0.0376,0.4451,West,Q1,140813.03
23384.8,109887,7.82,0.0481,0.5247,East,Q1,242791.6
19079.71,89182,3.63,0.0314,0.6661,South,Q2,138656.23
6080.22,88683,5.94,0.027,0.4923,North,Q4,168042.18
24582.76,125328,4.9,0.0168,0.3574,South,Q3,201744.9
13075.44,112748,3.22,0.0428,0.2938,South,Q4,178458.56
26774.46,93010,2.84,0.0151,0.0905,South,Q4,172297.15
9122.02,97310,3.85,0.0331,0.261,,Q1,176160.25
19540.86,111095,4.67,0.0306,0.2854,East,Q2,152381.1
10518.61,72212,6.63,0.049,0.1375,West,Q1,220922.07
24190.1,75795,2.32,0.051,0.4337,South,Q4,219545.71
19965.51,100042,2.15,0.0387,0.6643,South,Q3,178747.8
22128.65,109466,3.73,0.0276,0.4658,West,Q4,210017.07
13750.27,63424,3.26,0.0334,0.2073,East,Q2,117477.99
14029.78,64113,4.44,0.0401,0.4607,East,Q4,152436.74
23100.91,87000,4.73,0.0331,0.5174,South,Q4,181488.83
21713.78,106675,5.64,0.0287,0.4814,North,Q2,177457.82
